iter	Passed	Remaining
418	2468	3422
419	2474	3416
420	2479	3410
421	2485	3404
422	2491	3397
423	2496	3391
424	2502	3385
425	2507	3379
426	2513	3372
427	2519	3366
428	2524	3360
429	2530	3353
430	2535	3347
431	2540	3340
432	2546	3334
433	2551	3328
434	2557	3321
435	2562	3314
436	2567	3308
437	2573	3301
438	2578	3295
439	2583	3288
440	2589	3282
441	2594	3275
442	2600	3269
443	2605	3262
444	2611	3256
445	2616	3250
446	2622	3243
447	2627	3237
448	2634	3232
449	2639	3226
450	2645	3220
451	2650	3213
452	2655	3206
453	2660	3199
454	2665	3192
455	2670	3185
456	2675	3179
457	2680	3172
458	2685	3165
459	2691	3159
460	2696	3152
461	2701	3146
462	2706	3139
463	2712	3132
464	2717	3126
465	2722	3119
466	2727	3113
467	2733	3106
468	2738	3100
469	2743	3093
470	2748	3087
471	2753	3080
472	2759	3074
473	2764	3067
474	2769	3061
475	2774	3054
476	2780	3048
477	2785	3041
478	2791	3035
479	2796	3029
480	2802	3023
481	2807	3017
482	2812	3010
483	2818	3004
484	2823	2998
485	2828	2991
486	2834	2985
487	2839	2979
488	2844	2972
489	2850	2966
490	2855	2960
491	2861	2954
492	2867	2949
493	2873	2943
494	2879	2938
495	2885	2932
496	2891	2925
497	2896	2919
498	2902	2914
499	2908	2908
500	2914	2902
501	2920	2897
502	2926	2891
503	2932	2886
504	2938	2880
505	2944	2874
506	2949	2868
507	2955	2862
508	2961	2856
509	2967	2850
510	2973	2845
511	2978	2839
512	2985	2833
513	2991	2828
514	2997	2822
515	3003	2817
516	3009	2811
517	3015	2805
518	3021	2800
519	3028	2795
520	3034	2790
521	3041	2785
522	3048	2780
523	3054	2774
524	3060	2769
525	3066	2763
526	3072	2758
527	3079	2752
528	3085	2747
529	3091	2741
530	3097	2736
531	3104	2730
532	3110	2725
533	3116	2719
534	3122	2713
535	3127	2707
536	3133	2701
537	3139	2695
538	3145	2690
539	3150	2684
540	3157	2678
