iter	Logloss
0	0.6567546851
1	0.6193805115
2	0.5872368578
3	0.5568469433
4	0.5293898048
5	0.5050072643
6	0.486557597
7	0.4669465846
8	0.4482503981
9	0.4334448239
10	0.4210956333
11	0.4079072612
12	0.3982128496
13	0.3885048963
14	0.3780289525
15	0.3691183961
16	0.3604194673
17	0.3519036729
18	0.3460010707
19	0.3378566271
20	0.3322694688
21	0.3272469277
22	0.3211168954
23	0.3162021797
24	0.3116262233
25	0.3079792409
26	0.3044937023
27	0.3007339777
28	0.2966002376
29	0.2934000411
30	0.2903244005
31	0.2875847795
32	0.2850364283
33	0.2822459785
34	0.279994632
35	0.2777543403
36	0.2759764737
37	0.2740701201
38	0.2725975734
39	0.2706671815
40	0.2691227801
41	0.266185984
42	0.2646751577
43	0.2623311131
44	0.2607130911
45	0.259692533
46	0.2569487655
47	0.2560721232
48	0.2545921626
49	0.2539177576
50	0.2531176452
51	0.2511928924
52	0.2496228464
53	0.2481735531
54	0.2473211754
55	0.2459962828
56	0.2449279792
57	0.2444892302
58	0.2437153038
59	0.2428892952
60	0.2424313958
61	0.2418829216
62	0.2411714667
63	0.2406699223
64	0.2400551063
65	0.239481124
66	0.2384692323
67	0.2375925736
68	0.2364875835
69	0.2357380733
70	0.2347853443
71	0.23444273
72	0.2340911977
73	0.2336685851
74	0.2326625389
75	0.232123084
76	0.2315712927
77	0.2312444763
78	0.2304051655
79	0.2301972785
80	0.2297108266
81	0.229289011
82	0.2289054655
83	0.2280182192
84	0.227809355
85	0.2275825972
86	0.2266114194
87	0.2264249722
88	0.2258542889
89	0.2252415865
90	0.2246673487
91	0.2242525565
92	0.2240272952
93	0.2237237986
94	0.2235072084
95	0.2232015666
96	0.2229898848
97	0.2226922684
98	0.2224376398
99	0.2223315183
100	0.2218510668
101	0.2213598703
102	0.2212076751
103	0.220885411
104	0.2207471506
105	0.2204073183
106	0.2199358265
107	0.2195837478
108	0.2193430314
109	0.2191437119
110	0.2185511363
111	0.2182938556
112	0.217621823
113	0.2170543461
114	0.216807744
115	0.2164183896
116	0.2161560354
117	0.2158944528
118	0.2157364494
119	0.2155452522
120	0.2153520572
121	0.215125526
122	0.214997283
123	0.2148891448
124	0.2147125777
125	0.2143146176
126	0.2141403613
127	0.2139507575
128	0.213872116
129	0.2137738986
130	0.2135873832
131	0.2134301056
132	0.2133056602
133	0.2131893787
134	0.2128771844
135	0.2126589808
136	0.2124771047
137	0.2123171677
138	0.2121688051
139	0.212092614
140	0.2119309541
141	0.2117329949
142	0.2116318171
143	0.2114327761
144	0.2111945681
145	0.2110284391
146	0.2108465211
147	0.2107307977
148	0.2106515392
149	0.2102581122
150	0.2098537977
151	0.2097570713
152	0.2095896911
153	0.2093806597
154	0.209211182
155	0.2090555968
156	0.2087580998
157	0.2086717218
158	0.2085586151
159	0.2083082471
160	0.2082400634
161	0.2081020193
162	0.2080172197
163	0.207762143
164	0.2075897478
165	0.2074480542
166	0.2070349321
167	0.2068380592
168	0.2067408171
169	0.2066162194
170	0.2065415638
171	0.206361673
172	0.205698642
173	0.2055539542
174	0.2055035667
175	0.205458416
176	0.2053753784
177	0.2052407592
178	0.2050828312
179	0.2049411048
180	0.204844416
181	0.204756349
182	0.2046513591
183	0.2045881908
184	0.2044290521
185	0.2043398607
186	0.2041440797
187	0.2040661539
188	0.2039978873
189	0.2038881055
190	0.2038309817
191	0.2037043602
192	0.2035925056
193	0.2034725919
194	0.2034061032
195	0.2032873249
196	0.2032052852
197	0.2030795928
198	0.2030102198
199	0.2027671129
200	0.2026388967
201	0.2025358767
202	0.2024603814
203	0.2023468579
204	0.2022563625
205	0.2021094703
206	0.2019887614
207	0.2019129903
208	0.2017498928
209	0.2016037291
210	0.2015424317
211	0.2014390656
212	0.2013534647
